comment,rating,date,drug,url
I am a senior -77 yrs old- and actoplus plus met 15/850 is the best medicine i have found to control my blood sugar. I am in the gap in my insurane and it cost me 218.00 at walmart and I can't afford it. Is there any way you could help me? I take a lot of medicines and I am having a hard time paying for it. I would appreciate any help you could give me. Thank you.,"{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",8/3/2010 11:18:02 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=2&sortby=3&conditionFilter=-1
"Im a newly diagnosed diabetic and started taking Actoplus for 1 month now. This has brought my levels down. Lowest reading 77, highest reading 202. Taking 15/500 2X daily. I do exercise on treadmil at least 30 min a day and eat less than 50 carbs a meal and less than 20 carb a snack, never exceeding 200 carbs a day.  This has worked tremendously and I feel 100 times better. I also take CoQ10, Red yeast rice & Omega3's for my cholesterol as well as vitamin B's.  Had to make a life style change to save it! Hoping my next A1C reading will take me off these.","{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 4.0}",7/8/2010 9:04:51 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=2&sortby=3&conditionFilter=-1
"I have been taking this medicine 3 times a day for only a week and a half and it is doing really well for my blood sugar numbers, BUT I am so nausuated and tonight I started throwing up. Does anyone else have this problem?","{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 1.0}",2/26/2010 11:10:28 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=3&sortby=3&conditionFilter=-1
"i was on steriods and developed sugar my doctor put me on actoplus my sugar is normal now for 4 month and i am off steriods why should i still have to take this
","{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",1/14/2010 9:58:15 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=3&sortby=3&conditionFilter=-1
This medication has been easy for me to use.,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 3.0}",1/13/2010 12:19:23 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=3&sortby=3&conditionFilter=-1
My sugar was very I thought I had it ended up in emergency room for something else and had them check my sugar it was very high within 2 weeks my sugar was way down.,"{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",12/31/2009 2:51:40 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=3&sortby=3&conditionFilter=-1
"Have severe diaharrea, my sugar level is fine!","{'effectiveness': 4.0, 'ease of use': 3.0, 'satisfaction': 3.0}",11/27/2009 10:46:05 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=3&sortby=3&conditionFilter=-1
blood sugar normal range.  anger at times has any experence this side effect?,"{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 5.0}",11/22/2009 7:22:20 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=4&sortby=3&conditionFilter=-1
I have been on this medication over 3 years.  I started taking this medication when my insurer increased the cost of metformin.  I'm on a low dose 15MG/500MG however I can not tolerate the entire pill at once.  I have to split it and take half in the morning when I wake up and half before I go to bed.  I haven't had any other side effects.  My blood suger levels are stable.,"{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",11/12/2009 7:04:35 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=4&sortby=3&conditionFilter=-1
"Only 2 day on this med. Used to take Metformin, 100 mg twice a day. This Actoplum Met is making my heart race, giving me anxiety and trouble sleeping. ","{'effectiveness': 3.0, 'ease of use': 5.0, 'satisfaction': 2.0}",11/11/2009 11:27:59 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=4&sortby=3&conditionFilter=-1
"I have been taken this Actoplus Met 15/500mg for about 18 months, the problem
that I am having is with my vision that has changed in the last 18 months. I am going to ask my Dr. to change my meds. for this reason. VISION IS BLURRED AND WHITE OF EYES STAY RED. I HAVE BEEN UNDER THE EYE DR. CARE
ALL THIS YEAR FROM EVERY 2 WEEKS TO EVERY 2 MONTHS, THREE MONTHS. EXAMPLE OCT.22, NOV.5TH NEXT APPT.NOV. 12TH ALL FOR RED EYES.HAVING TROUBLE GETTING THEM TO CLEAR UP. i AM AFRIAD OF THIS MED AT TIME. THIS MED HAVE WORKED FOR ME AS FAR AS BLOOD SUGAR
BUT THE SIDE EFFECT IT HAS IS NOT GOOD.","{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 4.0}",11/7/2009 9:53:52 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=4&sortby=3&conditionFilter=-1
The actoplus met 850/15 has lowered my level to fairly normal levels (95-110) in the mornings (taking 2x per day)as long as I don't eat a snack too late the night before. I've been reading all the reviews with diarrhea issue but I haven't had any of that. The only minor complaint would be the size of the pill and some dry coughing occurs -but could be contributed by the Lisinopril I'm taking also. No weight gain but I'm trying.,"{'effectiveness': 5.0, 'ease of use': 4.0, 'satisfaction': 5.0}",10/20/2009 10:48:13 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=5&sortby=3&conditionFilter=-1
"my dr. took me off glyburide and put me on actoplus becaude my numbers dropped considerably. Have taken it for 6 weeks, all my joints ache,my hips hurt i'm jittery all the time,have irregular heartbeat, my stomach is huge, but I haven't gained any weight. HATE IT!!!!","{'effectiveness': 2.0, 'ease of use': 4.0, 'satisfaction': 1.0}",9/18/2009 11:46:37 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=5&sortby=3&conditionFilter=-1
"Started w/Metformin.  That gave me severe diahrea.  This started the same, but has stopped.  Been on this drug about 6 wks and have started having irriablity and feeling jittery.  That is new.","{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",8/14/2009 7:27:11 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=5&sortby=3&conditionFilter=-1
"Cooler hands, slow bowl movement, and some hip aches.  Overall keeps blood sugar in check unless I eat wrong.","{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 3.0}",7/28/2009 2:13:15 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=5&sortby=3&conditionFilter=-1
it has worked so much better than metformen,"{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",7/19/2009 1:56:19 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=6&sortby=3&conditionFilter=-1
I am on my third day taking one pill per day and it causes severe diaherra several hours after taking......will try it a few more days and see how it goes but not very happy with it as it is now,"{'effectiveness': 3.0, 'ease of use': 1.0, 'satisfaction': 1.0}",7/5/2009 3:16:17 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=6&sortby=3&conditionFilter=-1
"I seem to have problems with sudden drops in levels. Once I hit the ""normal"" range of 90 - 123, I need to sleep for at least 15 minutes. And my back hurts, just like if I have drank too much sweet tea. This morning I forgot to take the meds, and when I checked my sugar at 12:30 it was 306. I have concerns about it being therapeutic after three weeks and my sugar still running 306 after the normal(for the past couple of weeks) being around 170. I also have experienced sick to my stomach feeling late at night, to the point that I have to take something for the sickness.","{'effectiveness': 3.0, 'ease of use': 4.0, 'satisfaction': 1.0}",6/29/2009 10:30:45 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=6&sortby=3&conditionFilter=-1
but I gain wt,"{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",6/22/2009 7:06:19 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=6&sortby=3&conditionFilter=-1
I am taking this med for type 1 diabetes and have been on it for about 3 months. In the first 6 weeks my A1C level went from 12.5 to 9.2. I do have stomach pain and loss of appetite but if I take with food it is not so bad. I have lost about 10-15 lbs. I don't eat as much food due to nausea and the sweets have been cut back alot. I also have diarrhea most days and usually its about 1 hour or less after eating. Overall if it is helping with my sugar than I don't want to change it. Before the med sugars were in 400's now they are in the normal range.,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 3.0}",3/31/2009 7:29:24 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=7&sortby=3&conditionFilter=-1
"My doctor changed me from Actos to Actoplus Med and it has not worked as well the first month with readings in 200 ranage. I have had some weight gain, always wanting to eat, can't sleep, and some muscle cramps.   ","{'effectiveness': 3.0, 'ease of use': 3.0, 'satisfaction': 2.0}",3/22/2009 10:19:44 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=7&sortby=3&conditionFilter=-1
"I started this med in december 2008, so far I have gained 12 lbs., have experienced extremely swollen feet, achy joints. The worst has been the weight gain. I now understand why, after walking 2 miles a day 4 times a week, i wasn't losing weight. I also have noticed that I have been having alot of sleepness nights and I also feel that my stomach keeps getting bigger. ","{'effectiveness': 3.0, 'ease of use': 1.0, 'satisfaction': 1.0}",2/26/2009 11:31:29 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=7&sortby=3&conditionFilter=-1
The actos 850/15 has lowered my level but I've experienced extreme diarrhea. I tried taking the meds once a day vs 2xs and my numbers are great and diarrhea has calmed down. ,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 3.0}",2/26/2009 4:08:02 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=8&sortby=3&conditionFilter=-1
I have been taking this medicine more than a month now. I have noticed my bloor sugar come back to normal. I havn't noticed any side effects so far. I am pretty happy with the results.,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 4.0}",2/11/2009 1:41:26 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=8&sortby=3&conditionFilter=-1
"Starting blood sugar levels were high 300's to low 400's.  Have been on this med since around New Year's, only complaint is hands and feet stay cold more often than before.  Blood sugar readings are now in the mid to high 100's with an occasional low 200 reading.  I was on Actos before for PCOD, so already familiar with that part of the med.","{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 4.0}",1/20/2009 12:06:09 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=8&sortby=3&conditionFilter=-1
very good meds,"{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",1/7/2009 7:41:20 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=8&sortby=3&conditionFilter=-1
Drug has worked well on control of type 2. seems that all food now tastes strange not like it use too. hands cold no issue with feet.,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 3.0}",12/29/2008 10:14:02 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=8&sortby=3&conditionFilter=-1
I'm retaining fluid and have stomach and chest pains,"{'effectiveness': 2.0, 'ease of use': 4.0, 'satisfaction': 1.0}",12/26/2008 5:24:50 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=9&sortby=3&conditionFilter=-1
"I'm 46 yrs of age.I have been on this drug since shortly after it was approved. 50 + pounds in weight gain, cold hands, feet. I hurt all the time & feel 20 yrs older.I thought I was getting old. after reading the same side effects here. I'm switching to something different.  plus side..... Keeps my blood sugar level well under control. ","{'effectiveness': 5.0, 'ease of use': 2.0, 'satisfaction': 2.0}",12/22/2008 5:08:44 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=9&sortby=3&conditionFilter=-1
"I've been pleased with Actoplus Met overall; my A1C levels have improved greatly, I haven't noticed any deleterious side effects, and with the better glucose control, my appetite has decreased and I've lost around 30 lbs. My Satisfaction rating would be 5, except that the drug is so expensive and there is no generic formulation available yet.","{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 3.0}",11/17/2008 11:22:15 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=9&sortby=3&conditionFilter=-1
It has served me well but I would like to find its generic counterpart.,"{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 5.0}",11/11/2008 2:36:57 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=9&sortby=3&conditionFilter=-1
it keeps my blood sugar pretty much level,"{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 4.0}",10/28/2008 2:32:25 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=9&sortby=3&conditionFilter=-1
"Recently changed from Metformin ER (500x2 twice a day) after elevated A1C levels.  Blood sugar level with Actoplus Met are better, but I am extremely fatigued and my eyes have actually turned yellow.  Dr. says his books show no mention of yellowing eyes being a side-effect.  Med works well, but I want my white-eyes back.","{'effectiveness': 3.0, 'ease of use': 5.0, 'satisfaction': 2.0}",9/23/2008 6:57:35 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=10&sortby=3&conditionFilter=-1
"Been taking for 6months, weight gain, diareah,cold hands & feet lots of stomach problems, I am going off it.","{'effectiveness': 3.0, 'ease of use': 4.0, 'satisfaction': 1.0}",7/11/2008 2:16:24 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=10&sortby=3&conditionFilter=-1
"since I have been taking this medicatation my sugar level is much improved but I have cold hands & feet,I have gained more than 25 pounds, My overall health feelings are very irratable, nausia, shortness of breath,
I feel worse in my overall daily health than before I started taking this medication almost a year ago. I also have severe diahareea to not having a bowl movement in almost a week and my Dr. says this is normal. I asked him to change this medication several time but he keeps on insisting that my sympthoms are not from the medicatation. I have another appointment with my Dr in two weeks, if he does not change my medicatation at that time I am going to see another Dr. for another opinion.","{'effectiveness': 2.0, 'ease of use': 2.0, 'satisfaction': 1.0}",7/1/2008 4:33:41 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=10&sortby=3&conditionFilter=-1
"NO LONGER HAVE LOW SUGAR EPISODES VS AVG 3-4 PER MONTH
REDUCED HIGH SUGAR EPISODES - AVG/MO 6-7 TO 1/MO
ON MED SINCE AUGUST '07","{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 5.0}",6/20/2008 1:38:43 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=10&sortby=3&conditionFilter=-1
"After taking this medication for 30 days, I have gained 15lbs, have very bad chest pains, shortness of breath, and feel tired. I have discontinued this medication, as it is not for me.","{'effectiveness': 1.0, 'ease of use': 5.0, 'satisfaction': 1.0}",6/12/2008 9:57:16 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=10&sortby=3&conditionFilter=-1
I drink a few beers occasionally on weekends and holidays and haven't noticied any problems yet.,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 4.0}",5/26/2008 1:56:17 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=11&sortby=3&conditionFilter=-1
I am concerned if this medcine causes weight gain and/or insomnia,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 3.0}",4/18/2008 9:49:37 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=11&sortby=3&conditionFilter=-1
"I was recently diagnosed with type 2 and have been taking Actoplus Met (15/850) twice daily for 1 1/2 months. When I was first diagnosed, my glucose levels were over 500. My levels seem to be a little too low now(lowest 52 - highest 101)... And this is while I am eating pretty much anything I want (minus high sugar foods - soda, candies, Koolaid...). I asked my doctor if this was normal and he told me he has me on this medication so I can gain more weight. My dietitian said I might be type 1...but I thought type 1 could only take insulin shots. Actoplus Met seems to work fine on my glucose levels...I think I just need a lower dosage.","{'effectiveness': 3.0, 'ease of use': 3.0, 'satisfaction': 3.0}",3/28/2008 3:30:12 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=11&sortby=3&conditionFilter=-1
"I NOW HAVE COLD HANDS AND FEET ALSO MINOR HEADACHES,OTHER THEN THAT IT WORKS WELL LOWERING MY BLOOD SUGARS","{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 4.0}",2/5/2008 5:03:10 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=11&sortby=3&conditionFilter=-1
I have dizzy spells after taking twice a day-I now only take it in the morning after Bfast. I took it by itself-I became extremely dizzy- It has help my glucose levels but I am concerned about recent medical tests and related heart problems associated with this treatment.,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 4.0}",1/23/2008 5:22:43 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=11&sortby=3&conditionFilter=-1
"have had severe stomach aches and weight gain, have even stopped taking meds for a week to see if symptoms subsided. Will ask Dr. to switch to something else","{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 3.0}",1/14/2008 7:57:10 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=12&sortby=3&conditionFilter=-1
"Medication works, but I wonder if the reactions are worth it? 60 lb weight gain. cold hands and feet.","{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 2.0}",1/1/2008 4:36:45 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=12&sortby=3&conditionFilter=-1
"Just started taking less than a month ago, i have not had the diahrrea that others have reported, but my hands and feet feel colder than they normally do and very mild stomach problems.","{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 4.0}",12/10/2007 10:57:20 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=12&sortby=3&conditionFilter=-1
